Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
8,DET,Brandon Knight,University of Kentucky,7,401,12179,5906,1297,1656,0.413,0.354,0.812,30.4,14.7,3.2,4.1,11.6,0.046,-1.4,2
9,CHA,Kemba Walker,University of Connecticut,8,584,19860,11446,2218,3168,0.417,0.358,0.833,34,19.6,3.8,5.4,46.6,0.113,2.4,22.1
10,MIL,Jimmer Fredette,Brigham Young University,5,235,3148,1416,236,323,0.412,0.381,0.876,13.4,6,1,1.4,2.4,0.037,-4,-1.6
11,GSW,Klay Thompson,Washington State University,8,598,19784,11660,2070,1369,0.459,0.419,0.848,33.1,19.5,3.5,2.3,45.8,0.111,0.2,11.2
12,UTA,Alec Burks,University of Colorado,8,422,8997,4081,1294,723,0.423,0.357,0.771,21.3,9.7,3.1,1.7,12.9,0.069,-2.2,-0.5
13,PHO,Markieff Morris,University of Kansas,8,559,14722,6603,3109,964,0.45,0.337,0.78,26.3,11.8,5.6,1.7,23.3,0.076,-0.7,4.7
14,HOU,Marcus Morris,University of Kansas,8,527,13945,6066,2403,799,0.433,0.362,0.745,26.5,11.5,4.6,1.5,26.4,0.091,-0.6,5.1
15,IND,Kawhi Leonard,San Diego State University,8,452,13919,7859,2852,1072,0.494,0.382,0.85,30.8,17.4,6.3,2.4,63.6,0.219,6.2,28.7
16,PHI,Nikola Vucevic,University of Southern California,8,518,15521,8017,5225,1248,0.502,0.34,0.735,30,15.5,10.1,2.4,39.5,0.122,1.6,14.3
17,NYK,Iman Shumpert,Georgia Institute of Technology,8,431,10924,3193,1454,819,0.393,0.341,0.768,25.3,7.4,3.4,1.9,12.8,0.056,-0.4,4.4
18,WAS,Chris Singleton,Florida State University,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-2.3,-0.2
19,CHA,Tobias Harris,University of Tennessee,8,527,15928,8118,3099,971,0.472,0.368,0.821,30.2,15.4,5.9,1.8,38.6,0.116,0.3,9.1
20,MIN,Donatas Motiejunas,,5,248,4553,1826,949,268,0.469,0.3,0.6,18.4,7.4,3.8,1.1,7.2,0.076,-2,0
21,POR,Nolan Smith,Duke University,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6.5,-0.9
22,DEN,Kenneth Faried,Morehead State University,8,469,11565,5346,3829,468,0.546,0.237,0.653,24.7,11.4,8.2,1,38.2,0.158,1.2,9.3
23,HOU,Nikola Mirotic,,5,309,7480,3806,1840,393,0.424,0.36,0.807,24.2,12.3,6,1.3,20.4,0.131,0.8,5.2
24,OKC,Reggie Jackson,Boston College,8,508,12829,6490,1514,2248,0.428,0.329,0.861,25.3,12.8,3,4.4,27.2,0.102,0,6.4
25,BOS,MarShon Brooks,Providence College,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.047,-2.5,-0.4
26,DAL,Jordan Hamilton,University of Texas at Austin,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-1.5,0.3
27,NJN,JaJuan Johnson,Purdue University,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-6.3,-0.3
28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4,-4
29,SAS,Cory Joseph,University of Texas at Austin,8,509,10911,3580,1314,1418,0.449,0.33,0.76,21.4,7,2.6,2.8,21.7,0.095,-0.6,4
30,CHI,Jimmy Butler,Marquette University,8,508,16721,8469,2491,1745,0.455,0.341,0.834,32.9,16.7,4.9,3.4,64.7,0.186,4.1,25.6
31,MIA,Bojan Bogdanovic,,5,381,10516,4937,1270,513,0.462,0.387,0.852,27.6,13,3.3,1.3,17.1,0.078,-1.8,0.6
32,CLE,Justin Harper,University of Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.4,-0.2
33,DET,Kyle Singler,Duke University,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-1.6,0.7
34,WAS,Shelvin Mack,Butler University,8,454,8374,2994,894,1421,0.424,0.33,0.732,18.4,6.6,2,3.1,10.6,0.061,-2.6,-1.3
35,SAC,Tyler Honeycutt,"University of California, Los Angeles",2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-6.4,-0.1
36,NJN,Jordan Williams,University of Maryland,1,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-3.1,-0.2
37,LAC,Trey Thompkins,University of Georgia,1,24,119,57,24,3,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-8.9,-0.2
38,HOU,Chandler Parsons,University of Florida,8,417,12817,5404,1913,1161,0.464,0.374,0.709,30.7,13,4.6,2.8,28.9,0.108,1.7,12.1
39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-6.6,-1.2
40,MIL,Jon Leuer,University of Wisconsin,8,370,5899,2384,1417,300,0.485,0.329,0.768,15.9,6.4,3.8,0.8,13.2,0.107,-1.3,1
41,LAL,Darius Morris,University of Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.6,-1.3
42,IND,Davis Bertans,,3,201,3121,1221,450,189,0.452,0.414,0.843,15.5,6.1,2.2,0.9,8.5,0.131,1.5,2.8
43,CHI,Malcolm Lee,"University of California, Los Angeles",3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2,0
44,GSW,Charles Jenkins,Hofstra University,2,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-5.9,-1.3
45,NOH,Josh Harrellson,University of Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.7,0.3
46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-6.5,-0.5
47,LAC,Travis Leslie,University of Georgia,1,10,45,14,9,5,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.2,0
48,ATL,Keith Benson,Oakland University,1,3,9,0,3,0,0,,,3,0,1,0,0,-0.005,-10.4,0
49,MEM,Josh Selby,University of Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-10.1,-0.6
50,PHI,Lavoy Allen,Temple University,6,388,6905,1847,1843,384,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-1.2,1.3
51,POR,Jon Diebler,Ohio State University,,,,,,,,,,,,,,,,,
52,DET,Vernon Macklin,University of Florida,1,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,-0.6,0
53,ORL,DeAndre Liggins,University of Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2,0
54,CLE,Milan Macvan,,,,,,,,,,,,,,,,,,
55,BOS,E'Twaun Moore,Purdue University,8,512,11092,4111,1027,933,0.459,0.389,0.742,21.7,8,2,1.8,13.5,0.058,-1.7,0.7
56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,
57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,
58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,
59,SAS,Adam Hanga,,,,,,,,,,,,,,,,,,
60,SAC,Isaiah Thomas,University of Washington,8,478,14155,8972,1213,2439,0.439,0.361,0.875,29.6,18.8,2.5,5.1,45.5,0.154,1.9,14.1
1,WAS,John Wall,University of Kentucky,9,573,20545,10879,2483,5282,0.433,0.324,0.781,35.9,19,4.3,9.2,44.3,0.104,2.3,22
2,PHI,Evan Turner,Ohio State University,9,670,18411,6689,3172,2363,0.434,0.294,0.782,27.5,10,4.7,3.5,20,0.052,-2,0
3,NJN,Derrick Favors,Georgia Institute of Technology,9,616,15901,7098,4425,678,0.522,0.205,0.664,25.8,11.5,7.2,1.1,47.4,0.143,1.3,13.3
4,MIN,Wesley Johnson,Syracuse University,9,604,13437,4229,1920,644,0.405,0.338,0.739,22.2,7,3.2,1.1,10.9,0.039,-1.1,3
5,SAC,DeMarcus Cousins,University of Kentucky,9,550,17681,11746,6005,1776,0.46,0.334,0.738,32.1,21.4,10.9,3.2,42.7,0.116,2.9,21.8
6,GSW,Ekpe Udoh,Baylor University,7,368,5566,1300,1050,246,0.447,0,0.72,15.1,3.5,2.9,0.7,9.6,0.083,0,2.9
7,DET,Greg Monroe,Georgetown University,9,627,17418,8279,5213,1346,0.513,0,0.703,27.8,13.2,8.3,2.1,49.2,0.136,1.9,17
8,LAC,Al-Farouq Aminu,Wake Forest University,9,650,16361,4983,3951,804,0.423,0.34,0.741,25.2,7.7,6.1,1.2,26.5,0.078,0,8.4
9,UTA,Gordon Hayward,Butler University,9,573,17622,8689,2402,1955,0.443,0.364,0.822,30.8,15.2,4.2,3.4,46.5,0.127,1.9,17.2
10,IND,Paul George,"California State University, Fresno",9,586,19746,11513,3741,1933,0.434,0.38,0.845,33.7,19.6,6.4,3.3,63.4,0.154,3.8,29.1
11,NOH,Cole Aldrich,University of Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,1,2.6
12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-5.1,-2.3
13,TOR,Ed Davis,University of North Carolina,9,621,12638,4065,4172,490,0.569,0,0.581,20.4,6.5,6.7,0.8,39.9,0.152,1,9.4
14,HOU,Patrick Patterson,University of Kentucky,9,617,13548,4293,2570,666,0.45,0.367,0.749,22,7,4.2,1.1,28.8,0.102,0.3,7.8
15,MIL,Larry Sanders,Virginia Commonwealth University,6,238,4635,1520,1345,174,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,0.6,3
16,MIN,Luke Babbitt,"University of Nevada, Reno",8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.8,-1
17,CHI,Kevin Seraphin,,7,423,6430,2516,1462,246,0.489,0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-3.9,-3.1
18,OKC,Eric Bledsoe,University of Kentucky,9,552,15384,7734,2145,2622,0.455,0.335,0.796,27.9,14,3.9,4.8,35.3,0.11,2.1,16.1
19,BOS,Avery Bradley,University of Texas at Austin,9,515,14729,6179,1536,919,0.436,0.365,0.776,28.6,12,3,1.8,14.3,0.047,-1.8,0.6
20,SAS,James Anderson,Oklahoma State University,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
21,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.1,-0.2
22,POR,Elliot Williams,University of Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-5.3,-1.2
23,MIN,Trevor Booker,Clemson University,8,532,10872,3679,2932,566,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,0.2,6
24,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-4.3,-0.4
25,MEM,Dominique Jones,University of South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-3.6,-0.3
26,OKC,Quincy Pondexter,University of Washington,7,347,5498,1599,637,262,0.422,0.356,0.743,15.8,4.6,1.8,0.8,9.6,0.084,-1.2,1.1
27,NJN,Jordan Crawford,Xavier University,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-2.1,-0.2
28,MEM,Greivis Vasquez,University of Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.5,1.1
29,ORL,Daniel Orton,University of Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-1.7,0
30,WAS,Lazar Hayward,Marquette University,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.6,-0.4
31,NJN,Tibor Pleiss,,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-8.1,-0.1
32,MIA,Dexter Pittman,University of Texas at Austin,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-6,-0.4
33,SAC,Hassan Whiteside,Marshall University,7,324,8601,4382,3742,193,0.572,0.222,0.595,26.5,13.5,11.5,0.6,35,0.195,0.4,5.1
34,POR,Armon Johnson,"University of Nevada, Reno",2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-6.2,-0.4
35,WAS,Nemanja Bjelica,,4,249,4952,1723,1054,357,0.46,0.386,0.755,19.9,6.9,4.2,1.4,9.5,0.092,0.6,3.2
36,DET,Terrico White,University of Mississippi,,,,,,,,,,,,,,,,,
37,MIL,Darington Hobson,University of New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-14.1,-0.1
38,NYK,Andy Rautins,Syracuse University,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-16,-0.1
39,NYK,Landry Fields,Stanford University,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.1,2.8
40,IND,Lance Stephenson,University of Cincinnati,9,500,11686,4298,2085,1436,0.445,0.315,0.684,23.4,8.6,4.2,2.9,16.7,0.069,-0.8,3.6
41,MIA,Jarvis Varnado,Mississippi State University,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-1.9,0
42,MIA,Da'Sean Butler,West Virginia University,,,,,,,,,,,,,,,,,
43,LAL,Devin Ebanks,West Virginia University,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.7,-0.5
44,MIL,Jerome Jordan,University of Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,0,0.2
45,MIN,Paulao Prestes,,,,,,,,,,,,,,,,,,
46,PHO,Gani Lawal,Georgia Institute of Technology,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-4.9,0
47,MIL,Tiny Gallon,University of Oklahoma,,,,,,,,,,,,,,,,,
48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,
49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,
50,DAL,Solomon Alabi,Florida State University,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-5.4,-0.2
51,OKC,Magnum Rolle,Louisiana Tech University,,,,,,,,,,,,,,,,,
52,BOS,Luke Harangody,University of Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.3,-0.3
53,ATL,Pape Sy,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0
54,LAC,Willie Warren,University of Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-4.5,-0.1
55,UTA,Jeremy Evans,Western Kentucky University,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,1,2
56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-4.9,-0.1
57,IND,Ryan Reid,Florida State University,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-5.5,0
58,LAL,Derrick Caracter,University of Texas at El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-4.9,-0.2
59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,,,,
60,PHO,Dwayne Collins,University of Miami,,,,,,,,,,,,,,,,,
1,LAC,Blake Griffin,University of Oklahoma,9,587,20622,12849,5314,2604,0.504,0.341,0.691,35.1,21.9,9.1,4.4,73.9,0.172,4.1,31.7
2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4
3,OKC,James Harden,Arizona State University,10,745,25410,17931,3863,4601,0.443,0.364,0.856,34.1,24.1,5.2,6.2,117.6,0.222,6.9,57.2
4,SAC,Tyreke Evans,University of Memphis,10,579,17928,9190,2666,2816,0.441,0.323,0.759,31,15.9,4.6,4.9,28.7,0.077,0.8,12.9
5,MIN,Ricky Rubio,,8,483,15010,5363,2045,3719,0.388,0.325,0.837,31.1,11.1,4.2,7.7,30.9,0.099,1.2,12.1
6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7
7,GSW,Stephen Curry,Davidson College,10,676,23282,15884,3033,4497,0.478,0.436,0.905,34.4,23.5,4.5,6.7,100.9,0.208,6.5,49.9
8,NYK,Jordan Hill,University of Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
9,TOR,DeMar DeRozan,University of Southern California,10,733,25029,14546,3101,2431,0.45,0.284,0.827,34.1,19.8,4.2,3.3,58,0.111,-0.5,9.2
10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.4,10.4
11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4
12,CHA,Gerald Henderson,Duke University,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-2.2,-0.9
13,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1
14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-3.6,-1.5
15,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.6,-0.6
16,CHI,James Johnson,Wake Forest University,10,588,12152,4677,2120,1241,0.478,0.305,0.695,20.7,8,3.6,2.1,22.9,0.091,1.1,9.5
17,PHI,Jrue Holiday,"University of California, Los Angeles",10,648,21457,10052,2486,4130,0.452,0.354,0.784,33.1,15.5,3.8,6.4,39.2,0.088,1.3,18
18,MIN,Ty Lawson,University of North Carolina,8,551,16088,6977,1506,3316,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,0.7,10.9
19,ATL,Jeff Teague,Wake Forest University,10,707,19593,8981,1746,4099,0.446,0.356,0.842,27.7,12.7,2.5,5.8,48.2,0.118,0,10
20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-4.7,-2.7
21,NOH,Darren Collison,"University of California, Los Angeles",10,695,20423,8676,1846,3461,0.471,0.395,0.854,29.4,12.5,2.7,5,48.9,0.115,0.1,10.9
22,POR,Victor Claver,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.3,-0.4
23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.079,-1.5,1.6
24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.6,-2.3
25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
26,CHI,Taj Gibson,University of Southern California,10,728,18890,7137,4673,748,0.511,0.214,0.707,25.9,9.8,6.4,1,49.3,0.125,0.1,9.9
27,MEM,DeMarre Carroll,University of Missouri,10,537,12962,4866,2314,683,0.431,0.361,0.739,24.1,9.1,4.3,1.3,28.3,0.105,0.7,8.9
28,MIN,Wayne Ellington,University of North Carolina,10,623,13119,4997,1371,674,0.409,0.379,0.851,21.1,8,2.2,1.1,16.2,0.059,-2.2,-0.7
29,LAL,Toney Douglas,Florida State University,8,394,7511,3009,875,889,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.6,2.6
30,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4,-0.5
31,SAC,Jeff Pendergraph,Arizona State University,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-1.4,0.4
32,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-4.6,-0.5
33,POR,Dante Cunningham,Villanova University,10,707,14816,4130,2670,504,0.47,0.347,0.649,21,5.8,3.8,0.7,24.9,0.081,-1,3.7
34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,
35,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,-6.4,-0.9
36,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.9,-0.9
37,SAS,DeJuan Blair,University of Pittsburgh,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,0.4,4.2
38,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-2.1,0
39,DET,Jonas Jerebko,,9,619,11130,3837,2492,510,0.458,0.361,0.77,18,6.2,4,0.8,25.2,0.109,-0.9,3.2
40,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.6,0.2
41,MIL,Jodie Meeks,University of Kentucky,10,533,12030,4952,1112,576,0.418,0.372,0.879,22.6,9.3,2.1,1.1,24,0.096,-0.6,4.2
42,LAL,Patrick Beverley,University of Arkansas,7,365,10336,3309,1539,1239,0.412,0.377,0.768,28.3,9.1,4.2,3.4,23.6,0.109,1.9,10.1
43,MIA,Marcus Thornton,Louisiana State University,8,483,11299,5750,1348,677,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,-0.8,3.4
44,DET,Chase Budinger,University of Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-1.4,1.2
45,MIN,Nick Calathes,University of Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.7,0.6
46,CLE,Danny Green,University of North Carolina,10,600,15260,5348,2100,956,0.421,0.399,0.82,25.4,8.9,3.5,1.6,37.3,0.117,3,19.1
47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,
48,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,-7.3,0
49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,
50,UTA,Goran Suton,Michigan State University,,,,,,,,,,,,,,,,,
51,SAS,Jack McClinton,University of Miami,,,,,,,,,,,,,,,,,
52,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4
53,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.8,0.4
54,CHA,Robert Vaden,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,
55,POR,Patrick Mills,Saint Mary's College of California,10,586,11092,4915,978,1377,0.431,0.392,0.85,18.9,8.4,1.7,2.3,26.7,0.116,0.5,7
56,DAL,Ahmad Nivins,Saint Joseph's University,,,,,,,,,,,,,,,,,
57,PHO,Emir Preldzic,,,,,,,,,,,,,,,,,,
58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.7,-0.1
59,LAL,Chinemelu Elonu,Texas A&M University,,,,,,,,,,,,,,,,,
60,MIA,Robert Dozier,University of Memphis,,,,,,,,,,,,,,,,,
1,CHI,Derrick Rose,University of Memphis,10,541,18002,10203,1899,3045,0.453,0.305,0.824,33.3,18.9,3.5,5.6,37.3,0.099,0.3,10.6
2,MIA,Michael Beasley,Kansas State University,11,609,13903,7568,2861,788,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-3.2,-4.3
3,MIN,O.J. Mayo,University of Southern California,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.8,5.1
4,SEA,Russell Westbrook,"University of California, Los Angeles",11,801,27595,18376,5552,6693,0.434,0.306,0.804,34.5,22.9,6.9,8.4,94.7,0.165,6.6,59.8
5,MEM,Kevin Love,"University of California, Los Angeles",11,645,20687,11818,7265,1492,0.443,0.371,0.826,32.1,18.3,11.3,2.3,77.6,0.18,2.8,24.8
6,NYK,Danilo Gallinari,,10,533,16582,8353,2558,1065,0.422,0.374,0.87,31.1,15.7,4.8,2,48,0.139,1.1,12.9
7,LAC,Eric Gordon,Indiana University,11,610,20222,10181,1542,1816,0.427,0.37,0.815,33.2,16.7,2.5,3,31.9,0.076,-1,5.3
8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.3,-0.2
9,CHA,D.J. Augustin,University of Texas at Austin,11,788,18866,7692,1458,3084,0.412,0.382,0.862,23.9,9.8,1.9,3.9,40.2,0.102,-1.5,2.4
10,NJN,Brook Lopez,Stanford University,11,697,21571,12146,4564,1061,0.499,0.344,0.79,30.9,17.4,6.5,1.5,58,0.129,1,16.2
11,IND,Jerryd Bayless,University of Arizona,11,573,12260,4828,1211,1631,0.411,0.363,0.822,21.4,8.4,2.1,2.8,18.6,0.073,-1.9,0.2
12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-1.7,1.3
13,POR,Brandon Rush,University of Kansas,9,481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.7,0.7
14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-2.1,-0.1
15,PHO,Robin Lopez,Stanford University,11,746,17064,6663,3929,607,0.529,0.238,0.758,22.9,8.9,5.3,0.8,41.6,0.117,0.1,9
16,PHI,Marreese Speights,University of Florida,10,705,10640,5592,2875,461,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.8,-2.2
17,TOR,Roy Hibbert,Georgetown University,9,662,16389,6611,4173,885,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,0.2,9.1
