Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
2,CHA,Michael Kidd-Gilchrist,University of Kentucky,7,411,10567,3658,2329,490,0.477,0.237,0.714,25.7,8.9,5.7,1.2,21,0.095,-1.1,2.4
3,WAS,Bradley Beal,University of Florida,7,467,16031,9155,1821,1704,0.451,0.386,0.801,34.3,19.6,3.9,3.6,34.2,0.103,0.8,11.5
4,CLE,Dion Waiters,Syracuse University,7,388,11046,5108,1023,1087,0.412,0.341,0.696,28.5,13.2,2.6,2.8,7.9,0.034,-2.6,-1.7
5,SAC,Thomas Robinson,University of Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.2,-1.3
6,POR,Damian Lillard,Weber State University,7,529,19186,12400,2194,3313,0.434,0.368,0.888,36.3,23.4,4.1,6.3,66.9,0.167,3.9,28.5
7,GSW,Harrison Barnes,University of North Carolina,7,519,15893,7000,2543,792,0.444,0.369,0.795,30.6,13.5,4.9,1.5,28.5,0.086,-1.4,2.5
8,TOR,Terrence Ross,University of Washington,7,474,11444,4866,1303,498,0.423,0.372,0.814,24.1,10.3,2.7,1.1,17.8,0.075,-0.9,3.2
9,DET,Andre Drummond,University of Connecticut,7,520,15958,7288,7055,580,0.542,0.141,0.438,30.7,14,13.6,1.1,52.8,0.159,1.6,14.5
10,NOH,Austin Rivers,Duke University,7,466,11504,4343,962,1128,0.418,0.349,0.64,24.7,9.3,2.1,2.4,8.7,0.036,-2.8,-2.2
11,POR,Meyers Leonard,University of Illinois at Urbana-Champaign,7,384,5970,2139,1439,326,0.477,0.387,0.823,15.5,5.6,3.7,0.8,13.1,0.105,-1.5,0.8
12,HOU,Jeremy Lamb,University of Connecticut,7,414,8304,4120,1481,625,0.444,0.335,0.844,20.1,10,3.6,1.5,19.2,0.111,-0.6,2.8
13,PHO,Kendall Marshall,University of North Carolina,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-5.6,-2.8
14,MIL,John Henson,University of North Carolina,7,405,8152,3162,2206,442,0.539,0.273,0.572,20.1,7.8,5.4,1.1,19.3,0.114,0.5,5.1
15,PHI,Maurice Harkless,St. John's University,7,456,10447,3304,1659,400,0.474,0.326,0.611,22.9,7.2,3.6,0.9,17.7,0.081,0.1,5.4
16,HOU,Royce White,Iowa State University,1,3,9,0,0,0,0,,,3,0,0,0,0,-0.121,-10.4,0
17,DAL,Tyler Zeller,University of North Carolina,6,406,7157,2825,1792,363,0.508,0.294,0.764,17.6,7,4.4,0.9,16.8,0.112,-1.5,0.8
18,HOU,Terrence Jones,University of Kentucky,5,232,5557,2429,1330,238,0.501,0.299,0.622,24,10.5,5.7,1,14.8,0.128,0.2,3
19,ORL,Andrew Nicholson,St. Bonaventure University,5,285,4080,1700,857,126,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-5.3,-3.4
20,DEN,Evan Fournier,,7,438,12188,5854,1196,1084,0.444,0.37,0.803,27.8,13.4,2.7,2.5,18.1,0.071,-1.1,2.8
21,BOS,Jared Sullinger,Ohio State University,5,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,0.5,4.1
22,BOS,Fab Melo,Syracuse University,1,6,36,7,3,0,0.5,,0.25,6,1.2,0.5,0,0,0.021,-5.8,0
23,ATL,John Jenkins,Vanderbilt University,6,155,1951,774,222,121,0.45,0.366,0.844,12.6,5,1.4,0.8,2.8,0.069,-3.7,-0.8
24,CLE,Jared Cunningham,Oregon State University,4,84,605,197,56,39,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.9,-0.6
25,MEM,Tony Wroten,University of Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-4.1,-1.6
26,IND,Miles Plumlee,Duke University,7,346,5658,1697,1562,178,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
27,MIA,Arnett Moultrie,Mississippi State University,2,59,729,210,180,12,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-3,-0.2
28,OKC,Perry Jones,Baylor University,3,143,1675,488,252,54,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-4.6,-1.1
29,CHI,Marquis Teague,University of Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-8,-1.4
30,GSW,Festus Ezeli,Vanderbilt University,3,170,2394,712,725,63,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-1.1,0.6
31,CHA,Jeff Taylor,Vanderbilt University,3,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-3.9,-1.2
32,WAS,Tomas Satoransky,,3,189,3826,1158,500,637,0.494,0.421,0.773,20.2,6.1,2.6,3.4,8.8,0.111,-0.3,1.6
33,CLE,Bernard James,Florida State University,3,92,761,203,212,13,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.1,0.2
34,CLE,Jae Crowder,Marquette University,7,523,12643,4906,2023,735,0.423,0.34,0.776,24.2,9.4,3.9,1.4,27.3,0.104,0.6,8.4
35,GSW,Draymond Green,Michigan State University,7,514,14375,4675,3564,2468,0.438,0.322,0.707,28,9.1,6.9,4.8,41.9,0.14,3.7,20.8
36,SAC,Orlando Johnson,"University of California, Santa Barbara",3,103,1112,329,180,69,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-3.8,-0.5
37,TOR,Quincy Acy,Baylor University,7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
38,DEN,Quincy Miller,Baylor University,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
39,DET,Khris Middleton,Texas A&M University,7,436,13843,6731,1906,1381,0.451,0.389,0.871,31.8,15.4,4.4,3.2,29.3,0.102,0.1,7.4
40,POR,Will Barton,University of Memphis,7,417,9606,4398,1628,988,0.433,0.342,0.792,23,10.5,3.9,2.4,16.4,0.082,-0.5,3.7
41,POR,Tyshawn Taylor,University of Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.8,-0.8
42,MIL,Doron Lamb,University of Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.9,-1.2
43,ATL,Mike Scott,University of Virginia,7,417,6645,2960,1272,390,0.467,0.36,0.754,15.9,7.1,3.1,0.9,12.7,0.092,-2.4,-0.6
44,DET,Kim English,University of Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
45,PHI,Justin Hamilton,Louisiana State University,3,113,1961,687,403,91,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.3,0.8
46,NOH,Darius Miller,University of Kentucky,5,239,4803,1398,395,302,0.419,0.386,0.847,20.1,5.8,1.7,1.3,5.6,0.056,-1.5,0.5
47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-17.6,-0.2
48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.8,-0.2
49,ORL,Kyle O'Quinn,Norfolk State University,7,434,6320,2420,2023,577,0.517,0.211,0.749,14.6,5.6,4.7,1.3,16.4,0.125,1.8,6
50,DEN,Izzet Turkyilmaz,,,,,,,,,,,,,,,,,,
51,BOS,Kris Joseph,Syracuse University,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1
52,GSW,Ognjen Kuzmic,,2,37,164,35,38,8,0.52,,0.6,4.4,0.9,1,0.2,0.2,0.061,-2.5,0
53,LAC,Furkan Aldemir,,1,41,540,93,176,28,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-0.7,0.2
54,PHI,Tornike Shengelia,,2,45,247,59,39,17,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-6.6,-0.3
55,DAL,Darius Johnson-Odom,Marquette University,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-23.2,-0.1
56,TOR,Tomislav Zubcic,,,,,,,,,,,,,,,,,,
57,NJN,Ilkan Karaman,,,,,,,,,,,,,,,,,,
58,MIN,Robbie Hummel,Purdue University,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3
59,SAS,Marcus Denmon,University of Missouri,,,,,,,,,,,,,,,,,
60,LAL,Robert Sacre,Gonzaga University,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-3.1,-0.8
1,CLE,Kyrie Irving,Duke University,8,492,16625,10903,1760,2768,0.465,0.391,0.875,33.8,22.2,3.6,5.6,56.5,0.163,3.7,23.8
2,MIN,Derrick Williams,University of Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-3.2,-2.6
3,UTA,Enes Kanter,,8,564,12514,6696,4268,465,0.539,0.293,0.782,22.2,11.9,7.6,0.8,37.9,0.146,-1.5,1.7
4,CLE,Tristan Thompson,University of Texas at Austin,8,554,15496,5086,4767,493,0.519,0,0.61,28,9.2,8.6,0.9,39.8,0.123,-0.6,5.6
5,TOR,Jonas Valanciunas,,7,475,11899,5617,4009,362,0.559,0.365,0.786,25.1,11.8,8.4,0.8,44.2,0.178,-0.1,5.8
6,WAS,Jan Vesely,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-0.6,0.9
7,SAC,Bismack Biyombo,,8,564,11563,2798,3575,274,0.516,0,0.572,20.5,5,6.3,0.5,22.5,0.093,-1.9,0.2
8,DET,Brandon Knight,University of Kentucky,7,401,12179,5906,1297,1656,0.413,0.354,0.812,30.4,14.7,3.2,4.1,11.6,0.046,-1.4,2
9,CHA,Kemba Walker,University of Connecticut,8,584,19860,11446,2218,3168,0.417,0.358,0.833,34,19.6,3.8,5.4,46.6,0.113,2.4,22.1
10,MIL,Jimmer Fredette,Brigham Young University,5,235,3148,1416,236,323,0.412,0.381,0.876,13.4,6,1,1.4,2.4,0.037,-4,-1.6
11,GSW,Klay Thompson,Washington State University,8,598,19784,11660,2070,1369,0.459,0.419,0.848,33.1,19.5,3.5,2.3,45.8,0.111,0.2,11.2
12,UTA,Alec Burks,University of Colorado,8,422,8997,4081,1294,723,0.423,0.357,0.771,21.3,9.7,3.1,1.7,12.9,0.069,-2.2,-0.5
13,PHO,Markieff Morris,University of Kansas,8,559,14722,6603,3109,964,0.45,0.337,0.78,26.3,11.8,5.6,1.7,23.3,0.076,-0.7,4.7
14,HOU,Marcus Morris,University of Kansas,8,527,13945,6066,2403,799,0.433,0.362,0.745,26.5,11.5,4.6,1.5,26.4,0.091,-0.6,5.1
15,IND,Kawhi Leonard,San Diego State University,8,452,13919,7859,2852,1072,0.494,0.382,0.85,30.8,17.4,6.3,2.4,63.6,0.219,6.2,28.7
16,PHI,Nikola Vucevic,University of Southern California,8,518,15521,8017,5225,1248,0.502,0.34,0.735,30,15.5,10.1,2.4,39.5,0.122,1.6,14.3
17,NYK,Iman Shumpert,Georgia Institute of Technology,8,431,10924,3193,1454,819,0.393,0.341,0.768,25.3,7.4,3.4,1.9,12.8,0.056,-0.4,4.4
18,WAS,Chris Singleton,Florida State University,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-2.3,-0.2
19,CHA,Tobias Harris,University of Tennessee,8,527,15928,8118,3099,971,0.472,0.368,0.821,30.2,15.4,5.9,1.8,38.6,0.116,0.3,9.1
20,MIN,Donatas Motiejunas,,5,248,4553,1826,949,268,0.469,0.3,0.6,18.4,7.4,3.8,1.1,7.2,0.076,-2,0
21,POR,Nolan Smith,Duke University,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6.5,-0.9
22,DEN,Kenneth Faried,Morehead State University,8,469,11565,5346,3829,468,0.546,0.237,0.653,24.7,11.4,8.2,1,38.2,0.158,1.2,9.3
23,HOU,Nikola Mirotic,,5,309,7480,3806,1840,393,0.424,0.36,0.807,24.2,12.3,6,1.3,20.4,0.131,0.8,5.2
24,OKC,Reggie Jackson,Boston College,8,508,12829,6490,1514,2248,0.428,0.329,0.861,25.3,12.8,3,4.4,27.2,0.102,0,6.4
25,BOS,MarShon Brooks,Providence College,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.047,-2.5,-0.4
26,DAL,Jordan Hamilton,University of Texas at Austin,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-1.5,0.3
27,NJN,JaJuan Johnson,Purdue University,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-6.3,-0.3
28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4,-4
29,SAS,Cory Joseph,University of Texas at Austin,8,509,10911,3580,1314,1418,0.449,0.33,0.76,21.4,7,2.6,2.8,21.7,0.095,-0.6,4
30,CHI,Jimmy Butler,Marquette University,8,508,16721,8469,2491,1745,0.455,0.341,0.834,32.9,16.7,4.9,3.4,64.7,0.186,4.1,25.6
31,MIA,Bojan Bogdanovic,,5,381,10516,4937,1270,513,0.462,0.387,0.852,27.6,13,3.3,1.3,17.1,0.078,-1.8,0.6
32,CLE,Justin Harper,University of Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.4,-0.2
33,DET,Kyle Singler,Duke University,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-1.6,0.7
34,WAS,Shelvin Mack,Butler University,8,454,8374,2994,894,1421,0.424,0.33,0.732,18.4,6.6,2,3.1,10.6,0.061,-2.6,-1.3
35,SAC,Tyler Honeycutt,"University of California, Los Angeles",2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-6.4,-0.1
36,NJN,Jordan Williams,University of Maryland,1,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-3.1,-0.2
37,LAC,Trey Thompkins,University of Georgia,1,24,119,57,24,3,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-8.9,-0.2
38,HOU,Chandler Parsons,University of Florida,8,417,12817,5404,1913,1161,0.464,0.374,0.709,30.7,13,4.6,2.8,28.9,0.108,1.7,12.1
39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-6.6,-1.2
40,MIL,Jon Leuer,University of Wisconsin,8,370,5899,2384,1417,300,0.485,0.329,0.768,15.9,6.4,3.8,0.8,13.2,0.107,-1.3,1
41,LAL,Darius Morris,University of Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.6,-1.3
42,IND,Davis Bertans,,3,201,3121,1221,450,189,0.452,0.414,0.843,15.5,6.1,2.2,0.9,8.5,0.131,1.5,2.8
43,CHI,Malcolm Lee,"University of California, Los Angeles",3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2,0
44,GSW,Charles Jenkins,Hofstra University,2,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-5.9,-1.3
45,NOH,Josh Harrellson,University of Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.7,0.3
46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-6.5,-0.5
47,LAC,Travis Leslie,University of Georgia,1,10,45,14,9,5,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.2,0
48,ATL,Keith Benson,Oakland University,1,3,9,0,3,0,0,,,3,0,1,0,0,-0.005,-10.4,0
49,MEM,Josh Selby,University of Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-10.1,-0.6
50,PHI,Lavoy Allen,Temple University,6,388,6905,1847,1843,384,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-1.2,1.3
51,POR,Jon Diebler,Ohio State University,,,,,,,,,,,,,,,,,
52,DET,Vernon Macklin,University of Florida,1,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,-0.6,0
53,ORL,DeAndre Liggins,University of Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2,0
54,CLE,Milan Macvan,,,,,,,,,,,,,,,,,,
55,BOS,E'Twaun Moore,Purdue University,8,512,11092,4111,1027,933,0.459,0.389,0.742,21.7,8,2,1.8,13.5,0.058,-1.7,0.7
56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,
57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,
58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,
59,SAS,Adam Hanga,,,,,,,,,,,,,,,,,,
60,SAC,Isaiah Thomas,University of Washington,8,478,14155,8972,1213,2439,0.439,0.361,0.875,29.6,18.8,2.5,5.1,45.5,0.154,1.9,14.1
1,WAS,John Wall,University of Kentucky,9,573,20545,10879,2483,5282,0.433,0.324,0.781,35.9,19,4.3,9.2,44.3,0.104,2.3,22
2,PHI,Evan Turner,Ohio State University,9,670,18411,6689,3172,2363,0.434,0.294,0.782,27.5,10,4.7,3.5,20,0.052,-2,0
3,NJN,Derrick Favors,Georgia Institute of Technology,9,616,15901,7098,4425,678,0.522,0.205,0.664,25.8,11.5,7.2,1.1,47.4,0.143,1.3,13.3
4,MIN,Wesley Johnson,Syracuse University,9,604,13437,4229,1920,644,0.405,0.338,0.739,22.2,7,3.2,1.1,10.9,0.039,-1.1,3
5,SAC,DeMarcus Cousins,University of Kentucky,9,550,17681,11746,6005,1776,0.46,0.334,0.738,32.1,21.4,10.9,3.2,42.7,0.116,2.9,21.8
6,GSW,Ekpe Udoh,Baylor University,7,368,5566,1300,1050,246,0.447,0,0.72,15.1,3.5,2.9,0.7,9.6,0.083,0,2.9
7,DET,Greg Monroe,Georgetown University,9,627,17418,8279,5213,1346,0.513,0,0.703,27.8,13.2,8.3,2.1,49.2,0.136,1.9,17
8,LAC,Al-Farouq Aminu,Wake Forest University,9,650,16361,4983,3951,804,0.423,0.34,0.741,25.2,7.7,6.1,1.2,26.5,0.078,0,8.4
9,UTA,Gordon Hayward,Butler University,9,573,17622,8689,2402,1955,0.443,0.364,0.822,30.8,15.2,4.2,3.4,46.5,0.127,1.9,17.2
10,IND,Paul George,"California State University, Fresno",9,586,19746,11513,3741,1933,0.434,0.38,0.845,33.7,19.6,6.4,3.3,63.4,0.154,3.8,29.1
11,NOH,Cole Aldrich,University of Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,1,2.6
12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-5.1,-2.3
13,TOR,Ed Davis,University of North Carolina,9,621,12638,4065,4172,490,0.569,0,0.581,20.4,6.5,6.7,0.8,39.9,0.152,1,9.4
14,HOU,Patrick Patterson,University of Kentucky,9,617,13548,4293,2570,666,0.45,0.367,0.749,22,7,4.2,1.1,28.8,0.102,0.3,7.8
15,MIL,Larry Sanders,Virginia Commonwealth University,6,238,4635,1520,1345,174,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,0.6,3
16,MIN,Luke Babbitt,"University of Nevada, Reno",8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.8,-1
17,CHI,Kevin Seraphin,,7,423,6430,2516,1462,246,0.489,0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-3.9,-3.1
18,OKC,Eric Bledsoe,University of Kentucky,9,552,15384,7734,2145,2622,0.455,0.335,0.796,27.9,14,3.9,4.8,35.3,0.11,2.1,16.1
19,BOS,Avery Bradley,University of Texas at Austin,9,515,14729,6179,1536,919,0.436,0.365,0.776,28.6,12,3,1.8,14.3,0.047,-1.8,0.6
20,SAS,James Anderson,Oklahoma State University,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
21,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.1,-0.2
22,POR,Elliot Williams,University of Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-5.3,-1.2
23,MIN,Trevor Booker,Clemson University,8,532,10872,3679,2932,566,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,0.2,6
24,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-4.3,-0.4
25,MEM,Dominique Jones,University of South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-3.6,-0.3
26,OKC,Quincy Pondexter,University of Washington,7,347,5498,1599,637,262,0.422,0.356,0.743,15.8,4.6,1.8,0.8,9.6,0.084,-1.2,1.1
27,NJN,Jordan Crawford,Xavier University,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-2.1,-0.2
28,MEM,Greivis Vasquez,University of Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.5,1.1
29,ORL,Daniel Orton,University of Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-1.7,0
30,WAS,Lazar Hayward,Marquette University,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.6,-0.4
31,NJN,Tibor Pleiss,,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-8.1,-0.1
32,MIA,Dexter Pittman,University of Texas at Austin,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-6,-0.4
33,SAC,Hassan Whiteside,Marshall University,7,324,8601,4382,3742,193,0.572,0.222,0.595,26.5,13.5,11.5,0.6,35,0.195,0.4,5.1
34,POR,Armon Johnson,"University of Nevada, Reno",2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-6.2,-0.4
35,WAS,Nemanja Bjelica,,4,249,4952,1723,1054,357,0.46,0.386,0.755,19.9,6.9,4.2,1.4,9.5,0.092,0.6,3.2
36,DET,Terrico White,University of Mississippi,,,,,,,,,,,,,,,,,
37,MIL,Darington Hobson,University of New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-14.1,-0.1
38,NYK,Andy Rautins,Syracuse University,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-16,-0.1
39,NYK,Landry Fields,Stanford University,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.1,2.8
40,IND,Lance Stephenson,University of Cincinnati,9,500,11686,4298,2085,1436,0.445,0.315,0.684,23.4,8.6,4.2,2.9,16.7,0.069,-0.8,3.6
41,MIA,Jarvis Varnado,Mississippi State University,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-1.9,0
42,MIA,Da'Sean Butler,West Virginia University,,,,,,,,,,,,,,,,,
43,LAL,Devin Ebanks,West Virginia University,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.7,-0.5
44,MIL,Jerome Jordan,University of Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,0,0.2
45,MIN,Paulao Prestes,,,,,,,,,,,,,,,,,,
46,PHO,Gani Lawal,Georgia Institute of Technology,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-4.9,0
47,MIL,Tiny Gallon,University of Oklahoma,,,,,,,,,,,,,,,,,
48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,
49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,
50,DAL,Solomon Alabi,Florida State University,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-5.4,-0.2
51,OKC,Magnum Rolle,Louisiana Tech University,,,,,,,,,,,,,,,,,
52,BOS,Luke Harangody,University of Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.3,-0.3
53,ATL,Pape Sy,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0
54,LAC,Willie Warren,University of Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-4.5,-0.1
55,UTA,Jeremy Evans,Western Kentucky University,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,1,2
56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-4.9,-0.1
57,IND,Ryan Reid,Florida State University,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-5.5,0
58,LAL,Derrick Caracter,University of Texas at El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-4.9,-0.2
59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,,,,
60,PHO,Dwayne Collins,University of Miami,,,,,,,,,,,,,,,,,
1,LAC,Blake Griffin,University of Oklahoma,9,587,20622,12849,5314,2604,0.504,0.341,0.691,35.1,21.9,9.1,4.4,73.9,0.172,4.1,31.7
2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4
3,OKC,James Harden,Arizona State University,10,745,25410,17931,3863,4601,0.443,0.364,0.856,34.1,24.1,5.2,6.2,117.6,0.222,6.9,57.2
4,SAC,Tyreke Evans,University of Memphis,10,579,17928,9190,2666,2816,0.441,0.323,0.759,31,15.9,4.6,4.9,28.7,0.077,0.8,12.9
5,MIN,Ricky Rubio,,8,483,15010,5363,2045,3719,0.388,0.325,0.837,31.1,11.1,4.2,7.7,30.9,0.099,1.2,12.1
6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7
7,GSW,Stephen Curry,Davidson College,10,676,23282,15884,3033,4497,0.478,0.436,0.905,34.4,23.5,4.5,6.7,100.9,0.208,6.5,49.9
8,NYK,Jordan Hill,University of Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
9,TOR,DeMar DeRozan,University of Southern California,10,733,25029,14546,3101,2431,0.45,0.284,0.827,34.1,19.8,4.2,3.3,58,0.111,-0.5,9.2
